Gene,Module,Alteration_freq_pct,Genomic_driver,Recurrence_score,Core_pathway_score,Therapeutic_relevance,Lineage_or_biomarker,Prognostic_or_subtype,ACC_weight,Weight_tier,Evidence_summary,Evidence_class,Primary_source
CHEK2,MMR/DDR,,0.4,0.4,0.7,0.7,0.3,0.4,0.495,C,DDR checkpoint gene.,Support,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
MGMT,Drug response biomarker,,0.1,0.3,0.5,1,1,0.3,0.455,C,ACC treatment biomarker; temozolomide-response context.,Biomarker,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
SLFN11,Drug response biomarker,,0.1,0.3,0.5,1,1,0.3,0.455,C,ACC treatment biomarker for DNA-damaging drug response.,Biomarker,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
ABCB1,Drug resistance biomarker,,0.1,0.3,0.5,1,1,0.3,0.455,C,MDR-1/ABCB1 resistance marker highlighted in ACC_CellMinerCDB.,Biomarker,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
SOAT1,Therapeutic target,,0.2,0.4,0.6,1,1,0.4,0.53,C,ACC treatment-relevant target/marker.,Biomarker,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
NR5A1,Adrenal cortical lineage,,0.4,0.5,0.8,0.7,1,0.7,0.62,B,SF-1/adrenal cortical lineage regulator.,Lineage,https://gdc.cancer.gov/about-data/publications/acc_2016
STAR,Steroidogenesis,,0.1,0.3,0.5,0.3,1,0.6,0.365,C,Adrenal steroidogenic lineage marker.,Lineage,https://gdc.cancer.gov/about-data/publications/acc_2016
CYP11A1,Steroidogenesis,,0.1,0.3,0.5,0.3,1,0.6,0.365,C,Adrenal steroidogenic lineage marker.,Lineage,https://gdc.cancer.gov/about-data/publications/acc_2016
CYP17A1,Steroidogenesis,,0.1,0.3,0.5,0.4,1,0.6,0.38,C,Steroidogenic lineage and pharmacologic context.,Lineage,https://gdc.cancer.gov/about-data/publications/acc_2016
HSD3B2,Steroidogenesis,,0.1,0.3,0.5,0.3,1,0.6,0.365,C,Adrenal steroidogenic lineage marker.,Lineage,https://gdc.cancer.gov/about-data/publications/acc_2016
CYP21A2,Steroidogenesis,,0.1,0.3,0.5,0.3,1,0.6,0.365,C,Adrenal steroidogenic lineage marker.,Lineage,https://gdc.cancer.gov/about-data/publications/acc_2016
EGFR,RTK signaling,,0.2,0.3,0.6,0.7,0.3,0.4,0.395,C,Potentially druggable RTK axis; not dominant recurrent driver.,Support,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
VEGFA,Angiogenesis,,0.1,0.3,0.6,0.7,0.3,0.4,0.365,C,Angiogenesis axis with therapeutic relevance.,Support,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
KDR,Angiogenesis,,0.1,0.3,0.6,0.7,0.3,0.4,0.365,C,VEGFR2/KDR target; indirect disease-context evidence.,Support,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
PIK3CA,PI3K/AKT/mTOR,,0.3,0.4,0.7,0.7,0.2,0.4,0.455,C,Growth-survival pathway downstream of RTK/IGF signaling.,Support,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
AKT1,PI3K/AKT/mTOR,,0.2,0.3,0.7,0.7,0.2,0.4,0.405,C,Growth-survival pathway node.,Support,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
MTOR,PI3K/AKT/mTOR,,0.2,0.3,0.7,0.8,0.2,0.4,0.42,C,Pharmacologically tractable mTOR pathway.,Support,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389377/
UBA1,UPS/proteostasis vulnerability,,0,0.2,0.5,1,0.9,0.3,0.395,Vulnerability,"TAK-243/UBA1 inhibition validated in ACC cell lines, organoids and xenografts.",Vulnerability,https://pmc.ncbi.nlm.nih.gov/articles/PMC10949913/
